"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"9-49","UAM0162","6인승","6","성수","1","3","08:09:15","목동","2","5","09:50:55","08:15:15","08:16:15","08:34:31","08:36:31","09:50:55","09:52:55","09:57:55","10:03:55"
"9-50","UAM0301","6인승","6","성수","1","1","08:11:23","마곡","2","3","09:44:42","08:10:23","08:11:23","08:36:31","08:38:31","09:44:42","09:46:42","09:51:42","09:57:42"
"9-51","UAM0329","6인승","6","성수","1","4","08:17:56","용산","2","1","08:48:29","08:16:56","08:17:56","08:38:31","08:40:31","08:48:29","08:50:29","08:55:29","09:01:29"
"9-52","UAM0109","6인승","6","성수","1","2","08:18:20","가산","2","5","09:01:54","08:23:45","08:24:45","08:40:31","08:42:31","09:01:54","09:03:54","09:08:54","09:14:54"
"9-53","UAM0332","6인승","6","성수","1","5","08:18:41","목동","2","3","10:14:55","08:17:45","08:18:45","08:42:31","08:44:31","10:14:55","10:16:55","10:21:55","10:27:55"
"9-54","UAM0105","6인승","6","성수","1","3","08:21:29","수서","2","2","09:05:41","08:25:45","08:26:45","08:44:31","08:46:31","09:05:41","09:07:41","09:12:41","09:18:41"
"9-55","UAM0113","6인승","6","성수","1","1","08:26:16","마곡","2","1","10:14:42","08:29:45","08:30:45","08:46:31","08:48:31","10:14:42","10:16:42","10:21:42","10:27:42"
"9-56","UAM0178","6인승","6","성수","1","2","08:28:34","망우","2","4","09:07:41","08:32:15","08:33:15","08:48:31","08:50:31","09:07:41","09:09:41","09:14:41","09:20:41"
"9-57","UAM0196","6인승","6","성수","1","3","08:29:12","목동","2","2","10:40:55","08:35:30","08:36:30","08:50:31","08:52:31","10:40:55","10:42:55","10:47:55","10:53:55"
"9-58","UAM0192","6인승","6","성수","1","4","08:29:21","여의도","2","1","09:13:04","08:28:21","08:29:21","08:52:31","08:54:31","09:13:04","09:15:04","09:20:04","09:26:04"
"9-59","UAM0147","6인승","6","성수","1","1","08:31:14","사당","2","2","09:05:39","08:31:15","08:32:15","08:54:31","08:56:31","09:05:39","09:07:39","09:12:39","09:18:39"
"9-60","UAM0388","6인승","6","성수","1","2","08:32:41","봉천","2","3","09:07:44","08:33:45","08:34:45","08:56:31","08:58:31","09:07:44","09:09:44","09:14:44","09:20:44"
"9-61","UAM0574","6인승","6","성수","1","5","08:34:38","목동","2","3","10:58:55","08:33:38","08:34:38","08:58:31","09:00:31","10:58:55","11:00:55","11:05:55","11:11:55"
"9-62","UAM0238","6인승","6","성수","1","3","08:37:35","가산","2","2","09:35:41","08:37:00","08:38:00","09:00:31","09:02:31","09:35:41","09:37:41","09:42:41","09:48:41"
"9-63","UAM0281","6인승","6","성수","1","4","08:37:36","수서","2","3","09:18:43","08:37:30","08:38:30","09:02:31","09:04:31","09:18:43","09:20:43","09:25:43","09:31:43"
"9-64","UAM0359","6인승","6","성수","1","1","08:42:30","마곡","2","4","10:48:42","08:46:38","08:47:38","09:04:31","09:06:31","10:48:42","10:50:42","10:55:42","11:01:42"
"9-65","UAM0135","6인승","6","성수","1","2","08:43:14","목동","2","2","11:12:55","08:42:38","08:43:38","09:06:31","09:08:31","11:12:55","11:14:55","11:19:55","11:25:55"
"9-66","UAM0156","6인승","6","성수","1","1","08:46:08","미아","2","4","09:23:28","08:55:08","08:56:08","09:08:31","09:10:31","09:23:28","09:25:28","09:30:28","09:36:28"
"9-67","UAM0141","6인승","6","성수","1","3","08:50:08","망우","2","4","09:35:46","08:56:38","08:57:38","09:10:31","09:12:31","09:35:46","09:37:46","09:42:46","09:48:46"
"9-68","UAM0414","6인승","6","성수","1","4","08:55:10","연신내","2","1","09:25:36","09:00:38","09:01:38","09:12:31","09:14:31","09:25:36","09:27:36","09:32:36","09:38:36"
"9-69","UAM0442","6인승","6","성수","1","3","08:56:13","봉천","2","1","09:30:52","08:58:08","08:59:08","09:14:31","09:16:31","09:30:52","09:32:52","09:37:52","09:43:52"
"9-70","UAM0286","6인승","6","성수","1","1","08:56:14","사당","2","3","09:27:34","08:56:38","08:57:38","09:16:31","09:18:31","09:27:34","09:29:34","09:34:34","09:40:34"
"9-71","UAM0041","6인승","6","성수","1","2","08:57:28","마곡","2","2","11:14:42","09:16:38","09:17:38","09:22:38","09:24:38","11:14:42","11:16:42","11:21:42","11:27:42"
"9-72","UAM0080","6인승","6","성수","1","5","08:58:23","가산","2","4","09:47:30","08:58:38","08:59:38","09:24:38","09:26:38","09:47:30","09:49:30","09:54:30","10:00:30"
"9-73","UAM0451","6인승","6","성수","1","4","09:00:08","상암","2","3","09:39:47","09:02:08","09:03:08","09:26:38","09:28:38","09:39:47","09:41:47","09:46:47","09:52:47"
"9-74","UAM0446","6인승","6","성수","1","2","09:05:18","목동","2","2","11:56:55","09:25:08","09:26:08","09:31:08","09:33:08","11:56:55","11:58:55","12:03:55","12:09:55"
"9-75","UAM0241","6인승","6","성수","1","1","09:08:40","용산","2","2","09:43:06","09:12:38","09:13:38","09:33:08","09:35:08","09:43:06","09:45:06","09:50:06","09:56:06"
