"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"7-110","UAM0673","6인승","6","봉천","1","1","10:39:12","성수","2","3","11:58:15","11:08:51","11:09:51","11:14:51","11:16:51","11:58:15","12:00:15","12:05:15","12:11:15"
"7-111","UAM0126","6인승","6","봉천","1","4","10:39:45","목동","2","2","14:58:55","10:38:45","10:39:45","11:16:51","11:18:51","14:58:55","15:00:55","15:05:55","15:11:55"
"7-112","UAM0562","6인승","6","봉천","1","3","10:42:03","마곡","2","1","14:26:42","10:41:44","10:42:44","11:18:51","11:20:51","14:26:42","14:28:42","14:33:42","14:39:42"
"7-113","UAM0560","6인승","6","봉천","1","2","10:47:33","상암","2","1","11:33:47","10:46:33","10:47:33","11:20:51","11:22:51","11:33:47","11:35:47","11:40:47","11:46:47"
"7-114","UAM0549","6인승","6","봉천","1","1","10:48:27","천호","2","4","13:25:23","11:10:21","11:11:21","11:22:51","11:24:51","13:25:23","13:27:23","13:32:23","13:38:23"
"7-115","UAM0943","6인승","6","봉천","1","4","10:53:29","강남","2","2","13:46:49","10:52:29","10:53:29","11:24:51","11:26:51","13:46:49","13:48:49","13:53:49","13:59:49"
"7-116","UAM0336","6인승","6","봉천","1","1","10:54:43","잠실","2","2","11:49:54","11:25:33","11:26:33","11:31:33","11:33:33","11:49:54","11:51:54","11:56:54","12:02:54"
"7-117","UAM0694","6인승","6","봉천","1","3","10:58:00","성수","2","2","12:18:15","10:58:27","10:59:27","11:33:33","11:35:33","12:18:15","12:20:15","12:25:15","12:31:15"
"7-118","UAM0186","6인승","6","봉천","1","2","10:59:39","수서","2","4","11:58:43","11:04:10","11:05:10","11:35:33","11:37:33","11:58:43","12:00:43","12:05:43","12:11:43"
"7-119","UAM0958","6인승","6","봉천","1","4","11:00:39","천호","2","1","13:44:27","10:59:39","11:00:39","11:37:33","11:39:33","13:44:27","13:46:27","13:51:27","13:57:27"
"7-120","UAM0959","6인승","6","봉천","1","5","11:00:57","연신내","2","4","11:53:36","10:59:57","11:00:57","11:39:33","11:41:33","11:53:36","11:55:36","12:00:36","12:06:36"
"7-121","UAM0816","6인승","6","봉천","1","2","11:05:16","미아","2","2","11:55:04","11:05:40","11:06:40","11:41:33","11:43:33","11:55:04","11:57:04","12:02:04","12:08:04"
"7-122","UAM0348","6인승","6","봉천","1","1","11:05:38","광화문","2","1","12:15:25","11:47:07","11:48:07","11:53:07","11:55:07","12:15:25","12:17:25","12:22:25","12:28:25"
"7-123","UAM0533","6인승","6","봉천","1","3","11:07:39","목동","2","4","15:56:55","11:06:40","11:07:40","11:55:07","11:57:07","15:56:55","15:58:55","16:03:55","16:09:55"
"7-124","UAM0218","6인승","6","봉천","1","1","11:09:46","성수","2","2","12:35:08","11:48:37","11:49:37","11:57:07","11:59:07","12:35:08","12:37:08","12:42:08","12:48:08"
"7-125","UAM0981","6인승","6","봉천","1","2","11:10:52","강남","2","1","14:06:49","11:09:52","11:10:52","11:59:07","12:01:07","14:06:49","14:08:49","14:13:49","14:19:49"
"7-126","UAM0990","6인승","6","봉천","1","2","11:14:24","마곡","2","5","15:18:42","11:13:24","11:14:24","12:01:07","12:03:07","15:18:42","15:20:42","15:25:42","15:31:42"
"7-127","UAM0609","6인승","6","봉천","1","1","11:19:10","망우","2","4","12:16:13","11:50:07","11:51:07","12:03:07","12:05:07","12:16:13","12:18:13","12:23:13","12:29:13"
"7-128","UAM0854","6인승","6","봉천","1","3","11:20:37","미아","2","3","12:18:38","11:20:43","11:21:43","12:05:07","12:07:07","12:18:38","12:20:38","12:25:38","12:31:38"
"7-129","UAM0173","6인승","6","봉천","1","2","11:27:45","천호","2","3","14:25:23","11:26:45","11:27:45","12:07:07","12:09:07","14:25:23","14:27:23","14:32:23","14:38:23"
"7-130","UAM0125","6인승","6","봉천","1","1","11:27:55","강남","2","3","14:32:49","11:51:37","11:52:37","12:09:07","12:11:07","14:32:49","14:34:49","14:39:49","14:45:49"
"7-131","UAM0356","6인승","6","봉천","1","3","11:28:25","성수","2","3","12:45:08","11:29:04","11:30:04","12:11:07","12:13:07","12:45:08","12:47:08","12:52:08","12:58:08"
"7-132","UAM1009","6인승","6","봉천","1","4","11:28:59","광화문","2","3","13:12:01","11:27:59","11:28:59","12:13:07","12:15:07","13:12:01","13:14:01","13:19:01","13:25:01"
"7-133","UAM1012","6인승","6","봉천","1","5","11:29:28","목동","2","3","16:40:55","11:28:28","11:29:28","12:15:07","12:17:07","16:40:55","16:42:55","16:47:55","16:53:55"
"7-134","UAM1014","6인승","6","봉천","1","6","11:30:12","수서","2","2","12:33:41","11:29:12","11:30:12","12:17:07","12:19:07","12:33:41","12:35:41","12:40:41","12:46:41"
"7-135","UAM1017","6인승","6","봉천","1","4","11:31:10","상암","2","1","12:30:28","11:30:10","11:31:10","12:19:07","12:21:07","12:30:28","12:32:28","12:37:28","12:43:28"
"7-136","UAM1020","6인승","6","봉천","1","3","11:32:20","잠실","2","1","12:34:57","11:31:20","11:32:20","12:21:07","12:23:07","12:34:57","12:36:57","12:41:57","12:47:57"
"7-137","UAM0794","6인승","6","봉천","1","1","11:42:59","연신내","2","2","12:39:36","12:13:28","12:14:28","12:23:07","12:25:07","12:39:36","12:41:36","12:46:36","12:52:36"
"7-138","UAM0724","6인승","6","봉천","1","2","11:44:19","미아","2","1","12:42:25","11:48:07","11:49:07","12:25:07","12:27:07","12:42:25","12:44:25","12:49:25","12:55:25"
"7-139","UAM0472","6인승","6","봉천","1","1","11:47:56","천호","2","3","14:51:23","12:14:58","12:15:58","12:27:07","12:29:07","14:51:23","14:53:23","14:58:23","15:04:23"
"7-140","UAM0726","6인승","6","봉천","1","2","11:48:32","마곡","2","3","16:16:42","11:56:10","11:57:10","12:29:07","12:31:07","16:16:42","16:18:42","16:23:42","16:29:42"
"7-141","UAM0243","6인승","6","봉천","1","1","11:49:18","강남","2","3","15:00:49","12:23:03","12:24:03","12:31:07","12:33:07","15:00:49","15:02:49","15:07:49","15:13:49"
"7-142","UAM0263","6인승","6","봉천","1","3","11:50:29","목동","2","3","17:08:55","11:52:10","11:53:10","12:33:07","12:35:07","17:08:55","17:10:55","17:15:55","17:21:55"
"7-143","UAM0875","6인승","6","봉천","1","3","11:55:55","잠실","2","1","12:46:16","12:01:14","12:02:14","12:35:07","12:37:07","12:46:16","12:48:16","12:53:16","12:59:16"
"7-144","UAM0151","6인승","6","봉천","1","5","11:57:52","망우","2","2","12:50:13","11:56:52","11:57:52","12:37:07","12:39:07","12:50:13","12:52:13","12:57:13","13:03:13"
"7-145","UAM0521","6인승","6","봉천","1","1","12:00:08","수서","2","3","12:53:41","12:24:33","12:25:33","12:39:07","12:41:07","12:53:41","12:55:41","13:00:41","13:06:41"
"7-146","UAM0777","6인승","6","봉천","1","3","12:01:11","연신내","2","2","12:51:36","12:02:44","12:03:44","12:41:07","12:43:07","12:51:36","12:53:36","12:58:36","13:04:36"
