vertiport,vertiport_class,vertiport_lat_deg,vertiport_lon_deg,vertiport_angle_deg,s_id,node_id,semantic_id,display_id,node_type,source_layout_marker,local_x_cm,local_y_cm,local_z_cm,actor_x_cm,actor_y_cm,actor_z_cm,marker_x_cm,marker_y_cm,marker_z_cm,label_u_x_cm,label_u_y_cm,label_u_z_cm,airsim_x_m,airsim_y_m,airsim_z_m,lla_lon_deg,lla_lat_deg,lla_height_m,unreal_label_text,source_component_marker,source_component_label,trace_status,extraction_source
영등포,port,37.526513000000,126.922845000000,322.000000,S22,22,,S22,connector,Cube22,6443.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-482472.422394,439693.004368,-29174.307953,-482472,439693,-29174,-4824.724224,4396.930044,-291.743080,126.923418328958,37.526871461237,61.600324,22 | U -482472 / +439693 / -29174,GroundNodeMarker_21,GroundNodeLabel_21,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S23,23,,S23,connector,Cube23,8128.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-481144.016596,438656.394500,-29172.570418,-481144,438656,-29173,-4811.440166,4386.563945,-291.725704,126.923568542445,37.526964928517,61.600517,23 | U -481144 / +438656 / -29173,GroundNodeMarker_22,GroundNodeLabel_22,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S24,24,,S24,connector,Cube24,10015.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-479656.359777,437495.514489,-29170.624586,-479656,437496,-29171,-4796.563598,4374.955145,-291.706246,126.923736764165,37.527069600548,61.600785,24 | U -479656 / +437496 / -29171,GroundNodeMarker_23,GroundNodeLabel_23,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S25,25,F2,S25 F2,pad,Cube25,11860.000000,-2050.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-479453.744775,434756.136294,-29168.558284,-479454,434756,-29169,-4794.537448,4347.561363,-291.685583,126.923759507172,37.527316427229,61.601134,25 F2 | U -479454 / +434756 / -29169,GroundNodeMarker_24,GroundNodeLabel_24,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S26,26,F1,S26 F1,pad,Cube26,11860.000000,2020.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-476949.884337,437964.809353,-29168.885843,-476950,437965,-29169,-4769.498843,4379.648094,-291.688858,126.924042976553,37.527027457801,61.601133,26 F1 | U -476950 / +437965 / -29169,GroundNodeMarker_25,GroundNodeLabel_25,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S27,27,,S27,branch,Cube27,11060.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-478832.511670,436852.631811,-29169.547006,-478833,436853,-29170,-4788.325117,4368.526318,-291.695470,126.923829923720,37.527127566672,61.600957,27 | U -478833 / +436853 / -29170,GroundNodeMarker_26,GroundNodeLabel_26,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S28,28,,S28,branch,Cube28,11860.000000,-655.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-478595.541996,435855.914898,-29168.670556,-478596,435856,-29169,-4785.955420,4358.559149,-291.686706,126.923856667071,37.527217382503,61.601104,28 | U -478596 / +435856 / -29169,GroundNodeMarker_27,GroundNodeLabel_27,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S29,29,,S29,branch,Cube29,11860.000000,625.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-477808.087116,436865.030749,-29168.773571,-477808,436865,-29169,-4778.080871,4368.650307,-291.687736,126.923945817147,37.527126502683,61.601104,29 | U -477808 / +436865 / -29169,GroundNodeMarker_28,GroundNodeLabel_28,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S01,1,G8,S01 G8,gate,Cube,3900.000000,-2050.000000,160.000000,805125.737289,578216.861438,-29770.506159,807639.450760,581835.669258,-29616.966103,807639,581836,-29617,8076.394508,5818.356693,-296.169661,127.069351906521,37.514041740473,61.600154,1 G8 | U +807639 / +581836 / -29617,GroundNodeMarker_0,GroundNodeLabel_0,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S02,2,G7,S02 G7,gate,Cube2,5600.000000,-2050.000000,160.000000,805125.737289,578216.861438,-29770.506159,807848.261553,583522.795460,-29618.763654,807848,583523,-29619,8078.482616,5835.227955,-296.187637,127.069375339728,37.513889712920,61.600281,2 G7 | U +807848 / +583523 / -29619,GroundNodeMarker_1,GroundNodeLabel_1,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
