sim_time,gid,Lmax_1s,Lmax_w
6:35:00,6641,59.4,69.4
6:35:00,6640,59.6,69.6
6:35:00,6549,59.8,69.8
6:35:00,6347,59.1,69.1
6:35:00,4551,59,69
6:35:00,6650,64.9,74.9
6:35:00,3851,65.1,75.1
6:35:00,4543,65.3,75.3
6:35:00,4447,65.5,75.5
6:35:10,5752,60.6,70.6
6:35:10,4446,65.3,75.3
6:35:10,4450,59.6,69.6
6:35:10,5646,59.6,69.6
6:35:10,4551,59,69
6:35:10,6352,64.1,74.1
6:35:10,5152,63.8,73.8
6:35:10,5550,64.8,74.8
6:35:10,6741,59.5,69.5
6:35:10,6641,59.5,69.5
6:35:10,6548,59.1,69.1
6:35:10,6347,59.1,69.1
6:35:10,6650,59.1,69.1
6:35:10,3851,65.1,75.1
6:35:10,4543,65.4,75.4
6:35:10,4447,65.5,75.5
6:35:10,5442,66,76
6:35:10,5352,65.8,75.8
6:35:20,5853,60,70
6:35:20,4446,65.2,75.2
6:35:20,4549,60.4,70.4
6:35:20,5646,59.5,69.5
6:35:20,4550,59,69
6:35:20,6451,64.5,74.5
6:35:20,5252,61.2,71.2
6:35:20,5550,63,73
6:35:20,6742,59.7,69.7
6:35:20,6641,59.5,69.5
6:35:20,6548,59.1,69.1
6:35:20,6247,59.1,69.1
6:35:20,4552,59.4,69.4
6:35:20,6650,59.2,69.2
6:35:20,3851,65.2,75.2
6:35:20,4543,65.4,75.4
6:35:20,4547,65.4,75.4
6:35:20,5442,66,76
6:35:20,5352,66,76
6:35:20,4447,66,76
6:35:30,5853,59.8,69.8
6:35:30,4347,65.1,75.1
6:35:30,4549,59.4,69.4
6:35:30,5545,59.6,69.6
6:35:30,4650,59,69
6:35:30,6451,61.8,71.8
6:35:30,5352,66,76
6:35:30,5550,62,72
6:35:30,6742,59.9,69.9
6:35:30,6448,59.1,69.1
6:35:30,6247,59.1,69.1
6:35:30,4552,61.2,71.2
6:35:30,6550,61.7,71.7
6:35:30,3851,65.1,75.1
6:35:30,4543,65.3,75.3
6:35:30,4547,65.3,75.3
6:35:30,5442,65.4,75.4
6:35:30,4447,66,76
6:35:30,3852,66,76
6:35:37,5953,59.6,69.6
6:35:37,4447,66,76
6:35:37,4548,65.3,75.3
6:35:37,5545,59.5,69.5
6:35:37,4650,59.3,69.3
6:35:37,6450,60.9,70.9
6:35:37,5352,65.8,75.8
6:35:37,5651,60.5,70.5
6:35:37,6743,60.2,70.2
6:35:37,6742,59.8,69.8
6:35:37,6447,59.1,69.1
6:35:37,6147,59.1,69.1
6:35:37,4553,60.1,70.1
6:35:37,6550,61.2,71.2
6:35:37,3850,65.1,75.1
6:35:37,4542,65.1,75.1
6:35:37,5442,65.3,75.3
6:35:37,3852,65.9,75.9
6:35:37,6649,66,76
6:35:50,6053,59.7,69.7
6:35:50,4447,66,76
6:35:50,4547,65.1,75.1
6:35:50,5544,59.7,69.7
6:35:50,4750,59.3,69.3
6:35:50,6449,61,71
6:35:50,5452,60.7,70.7
6:35:50,5652,60.1,70.1
6:35:50,6744,60.3,70.3
6:35:50,6743,60.2,70.2
6:35:50,6347,59.1,69.1
6:35:50,6047,59.1,69.1
6:35:50,4653,59.7,69.7
6:35:50,6549,59.6,69.6
6:35:50,3850,65.1,75.1
6:35:50,4542,65.1,75.1
6:35:50,4548,65.2,75.2
6:35:50,5442,65.4,75.4
6:35:50,5352,65.8,75.8
6:35:50,3851,65.1,75.1
6:35:50,6649,66,76
6:36:00,6053,65.7,75.7
6:36:00,4447,66,76
6:36:00,4547,65.3,75.3
6:36:00,5543,61.3,71.3
6:36:00,4850,59.3,69.3
6:36:00,6549,60.1,70.1
6:36:00,5552,59.8,69.8
6:36:00,5652,59.8,69.8
6:36:00,6644,60,70
6:36:00,6744,60.3,70.3
6:36:00,6247,59.1,69.1
6:36:00,6048,59.1,69.1
6:36:00,4653,59.3,69.3
6:36:00,3950,65.1,75.1
6:36:00,4542,65.1,75.1
6:36:00,4548,65.1,75.1
6:36:00,5442,65.4,75.4
6:36:00,5352,65.7,75.7
6:36:00,3851,65.3,75.3
6:36:00,6649,65.3,75.3
6:36:10,6054,65.7,75.7
6:36:10,4447,66,76
6:36:10,4546,65.2,75.2
6:36:10,5543,61.2,71.2
6:36:10,4951,60.6,70.6
6:36:10,6549,59.1,69.1
6:36:10,5552,60.1,70.1
6:36:10,5652,60.3,70.3
6:36:10,6645,59.9,69.9
6:36:10,6744,60.1,70.1
6:36:10,6247,59.1,69.1
6:36:10,5948,59.1,69.1
6:36:10,4753,59.4,69.4
6:36:10,6548,59.1,69.1
6:36:10,3949,65.1,75.1
6:36:10,4541,65.2,75.2
6:36:10,4548,59.4,69.4
6:36:10,5342,65.3,75.3
6:36:10,5352,65.9,75.9
6:36:10,4547,65.2,75.2
6:36:10,3851,65.1,75.1
6:36:10,6649,65.3,75.3
6:36:20,6054,65.8,75.8
6:36:20,4447,66,76
6:36:20,4546,65.3,75.3
6:36:20,5642,60.3,70.3
6:36:20,4851,65.1,75.1
6:36:20,6548,59.1,69.1
6:36:20,5652,60.5,70.5
6:36:20,5752,60.3,70.3
6:36:20,6645,59.9,69.9
6:36:20,6147,59.1,69.1
6:36:20,5848,59.1,69.1
6:36:20,4752,60.1,70.1
6:36:20,6448,59.1,69.1
6:36:20,3949,59.4,69.4
6:36:20,4541,65.3,75.3
6:36:20,4548,65.3,75.3
6:36:20,5342,65.3,75.3
6:36:20,5352,65.8,75.8
6:36:20,3851,65,75
6:36:20,6649,65.2,75.2
6:36:20,4956,65.9,75.9
6:36:30,6055,66,76
6:36:30,4447,66,76
6:36:30,4645,65.2,75.2
6:36:30,5542,61.3,71.3
6:36:30,4751,65.9,75.9
6:36:30,6448,59.1,69.1
6:36:30,5752,59.9,69.9
6:36:30,5853,59.6,69.6
6:36:30,6545,59.5,69.5
6:36:30,6645,59.8,69.8
6:36:30,6146,59.5,69.5
6:36:30,5849,59.5,69.5
6:36:30,4752,59.8,69.8
6:36:30,6447,59.1,69.1
6:36:30,3949,59.4,69.4
6:36:30,4641,65.3,75.3
6:36:30,4547,59.4,69.4
6:36:30,5342,65.5,75.5
6:36:30,5252,65.8,75.8
6:36:30,4548,65.2,75.2
6:36:30,3851,65.1,75.1
6:36:30,6649,65.2,75.2
6:36:30,4956,66,76
6:36:30,5844,65.9,75.9
6:36:40,6056,66,76
6:36:40,4447,66,76
6:36:40,4645,65.2,75.2
6:36:40,5541,60.5,70.5
6:36:40,4751,65.1,75.1
6:36:40,6447,59.1,69.1
6:36:40,5753,60,70
6:36:40,5853,59.7,69.7
6:36:40,6445,59.5,69.5
6:36:40,6545,59.4,69.4
6:36:40,6146,59.5,69.5
6:36:40,5950,59.5,69.5
6:36:40,6347,59.1,69.1
6:36:40,4050,59.6,69.6
6:36:40,4640,59.4,69.4
6:36:40,4547,59.4,69.4
6:36:40,5343,65.8,75.8
6:36:40,5252,65.9,75.9
6:36:40,4548,63.3,73.3
6:36:40,3851,65.3,75.3
6:36:40,6649,65.3,75.3
6:36:40,4956,65.6,75.6
6:36:40,5844,66,76
6:36:50,6056,65.4,75.4
6:36:50,4745,65.3,75.3
6:36:50,5441,61.7,71.7
6:36:50,4750,65.1,75.1
6:36:50,6347,59.1,69.1
6:36:50,5753,65.4,75.4
6:36:50,5953,59.6,69.6
6:36:50,6445,59.8,69.8
6:36:50,6245,59.6,69.6
6:36:50,5950,59.9,69.9
6:36:50,4851,59.9,69.9
6:36:50,4050,59.2,69.2
6:36:50,4540,59.5,69.5
6:36:50,4546,59.5,69.5
6:36:50,5343,61.7,71.7
6:36:50,5252,66,76
6:36:50,4548,59.5,69.5
6:36:50,3851,65.2,75.2
6:36:50,6650,65.3,75.3
