time,tsec,edge_id,lane,density
06:34:40,23680,18,R-2000,0.0
06:34:40,23680,35,L-1000,0.0
06:34:40,23680,35,R-1000,0.0
06:34:40,23680,35,L-2000,3.3333333333333335
06:34:40,23680,35,R-2000,3.3333333333333335
06:34:50,23690,1,L-1000,0.0
06:34:50,23690,1,R-1000,0.0
06:34:50,23690,1,L-2000,3.3333333333333335
06:34:50,23690,1,R-2000,3.3333333333333335
06:34:50,23690,2,L-1000,0.0
06:34:50,23690,2,R-1000,0.0
06:34:50,23690,2,L-2000,3.3333333333333335
06:34:50,23690,2,R-2000,3.3333333333333335
06:34:50,23690,6,L-1000,3.3333333333333335
06:34:50,23690,6,R-1000,3.3333333333333335
06:34:50,23690,6,L-2000,0.0
06:34:50,23690,6,R-2000,0.0
06:34:50,23690,7,L-1000,0.0
06:34:50,23690,7,R-1000,0.0
06:34:50,23690,7,L-2000,3.3333333333333335
06:34:50,23690,7,R-2000,3.3333333333333335
06:34:50,23690,9,L-1000,10.0
06:34:50,23690,9,R-1000,10.0
06:34:50,23690,9,L-2000,0.0
06:34:50,23690,9,R-2000,0.0
06:34:50,23690,10,L-1000,10.0
06:34:50,23690,10,R-1000,10.0
06:34:50,23690,10,L-2000,0.0
06:34:50,23690,10,R-2000,0.0
06:34:50,23690,11,L-1000,3.3333333333333335
06:34:50,23690,11,R-1000,3.3333333333333335
06:34:50,23690,11,L-2000,0.0
06:34:50,23690,11,R-2000,0.0
06:34:50,23690,13,L-1000,10.0
06:34:50,23690,13,R-1000,10.0
06:34:50,23690,13,L-2000,0.0
06:34:50,23690,13,R-2000,0.0
06:34:50,23690,14,L-1000,3.3333333333333335
06:34:50,23690,14,R-1000,3.3333333333333335
06:34:50,23690,14,L-2000,3.3333333333333335
06:34:50,23690,14,R-2000,3.3333333333333335
06:34:50,23690,35,L-1000,0.0
06:34:50,23690,35,R-1000,0.0
06:34:50,23690,35,L-2000,3.3333333333333335
06:34:50,23690,35,R-2000,3.3333333333333335
06:34:50,23690,38,L-1000,0.0
06:34:50,23690,38,R-1000,0.0
06:34:50,23690,38,L-2000,3.3333333333333335
06:34:50,23690,38,R-2000,3.3333333333333335
06:35:00,23700,2,L-1000,0.0
06:35:00,23700,2,R-1000,0.0
06:35:00,23700,2,L-2000,3.3333333333333335
06:35:00,23700,2,R-2000,3.3333333333333335
06:35:00,23700,3,L-1000,0.0
06:35:00,23700,3,R-1000,0.0
06:35:00,23700,3,L-2000,3.3333333333333335
06:35:00,23700,3,R-2000,3.3333333333333335
06:35:00,23700,7,L-1000,0.0
06:35:00,23700,7,R-1000,0.0
06:35:00,23700,7,L-2000,3.3333333333333335
06:35:00,23700,7,R-2000,3.3333333333333335
06:35:00,23700,9,L-1000,10.0
06:35:00,23700,9,R-1000,10.0
06:35:00,23700,9,L-2000,0.0
06:35:00,23700,9,R-2000,0.0
06:35:00,23700,10,L-1000,10.0
06:35:00,23700,10,R-1000,10.0
06:35:00,23700,10,L-2000,0.0
06:35:00,23700,10,R-2000,0.0
06:35:00,23700,11,L-1000,3.3333333333333335
06:35:00,23700,11,R-1000,3.3333333333333335
06:35:00,23700,11,L-2000,0.0
06:35:00,23700,11,R-2000,0.0
06:35:00,23700,12,L-1000,10.0
