hour,hour_label,vertiport_id,vertiport,requested,processed,unserved,processing_rate,flight_count,avg_load_factor,avg_gate_to_gate_sec,avg_departure_wait_sec,avg_arrival_wait_sec
15,15:00,목동,목동,249,106,143,0.4257,18,1,1679.6405555555557,151.82999999999998,234.7642857142857
15,15:00,미아,미아,124,44,80,0.3548,7,1,1658.5385714285712,0,163.64749999999998
15,15:00,봉천,봉천,109,40,69,0.367,8,1,1567.6225,50.825,341.39000000000004
15,15:00,사당,사당,142,30,112,0.2113,9,1,1545.0188888888888,61.24666666666667,133.808
15,15:00,상암,상암,68,30,38,0.4412,4,1,1691.7275,0,201.455
15,15:00,성수,성수,128,54,74,0.4219,11,1,1489.8763636363635,91.73571428571428,90.8
15,15:00,수서,수서,173,86,87,0.4971,19,1,1579.8242105263155,159.41625,150.574
15,15:00,여의도,여의도,141,60,81,0.4255,12,1,1621.6733333333334,70,251.1633333333333
15,15:00,연신내,연신내,124,38,86,0.3065,9,1,1629.341111111111,82.44428571428571,117.43000000000002
15,15:00,용산,용산,44,6,38,0.1364,2,1,1439.175,11.54,0
15,15:00,잠실,잠실,165,48,117,0.2909,9,1,1553.9844444444445,22.3925,195.4433333333333
15,15:00,천호,천호,289,110,179,0.3806,20,1,2788.0029999999997,1611.39,86.73833333333334
16,16:00,가산,가산,169,86,83,0.5089,19,1,1512.4405263157894,74.04461538461538,168.74
16,16:00,강남,강남,276,60,216,0.2174,12,1,1697.79,63.148,202.66857142857143
16,16:00,광화문,광화문,144,50,94,0.3472,11,1,1626.0963636363633,70.275,289.75
16,16:00,마곡,마곡,243,94,149,0.3868,21,1,2815.732380952381,1370.3809523809523,166.51166666666666
16,16:00,망우,망우,129,52,77,0.4031,10,1,1610.5849999999998,261.77777777777777,38.785
16,16:00,목동,목동,250,58,192,0.232,12,1,1617.9825,66.19857142857143,237.33199999999997
16,16:00,미아,미아,131,38,93,0.2901,8,1,1672.2925,70,126.67333333333333
16,16:00,봉천,봉천,99,50,49,0.5051,8,1,1487.7400000000002,70,118.88
16,16:00,사당,사당,142,78,64,0.5493,13,1,1487.802307692308,38.5175,147.79222222222222
16,16:00,상암,상암,70,18,52,0.2571,3,1,1495.0266666666666,0,62.17
16,16:00,성수,성수,129,52,77,0.4031,9,1,1520.7344444444445,41.333333333333336,115.33
16,16:00,수서,수서,174,80,94,0.4598,16,1,1555.4499999999998,116.4491666666667,176.86666666666667
16,16:00,여의도,여의도,154,18,136,0.1169,4,1,1723.3600000000001,0,309.795
16,16:00,연신내,연신내,150,32,118,0.2133,9,1,1632.6666666666667,47.308,157.7475
16,16:00,용산,용산,52,32,20,0.6154,8,1,1618.8375,44,170.37428571428572
16,16:00,잠실,잠실,153,72,81,0.4706,15,1,1577.2046666666672,98.72615384615385,73.84833333333333
16,16:00,천호,천호,257,114,143,0.4436,21,1,2800.787142857142,1611.284761904762,155.48333333333332
17,17:00,가산,가산,199,48,151,0.2412,11,1,1880.817272727273,77.14285714285714,260.348
17,17:00,강남,강남,311,88,223,0.283,19,1,1519.5726315789477,107.57823529411768,220.19428571428574
17,17:00,광화문,광화문,151,48,103,0.3179,7,1,1571.2,70,163.53
17,17:00,마곡,마곡,259,82,177,0.3166,16,1,2715.5243749999995,1315.375,119.71500000000002
17,17:00,망우,망우,121,72,49,0.595,12,1,1539.3241666666665,75.74499999999999,77.67
17,17:00,목동,목동,290,68,222,0.2345,15,1,1673.3800000000003,65.34,267.38428571428574
17,17:00,미아,미아,144,66,78,0.4583,13,1,1622.113076923077,54.786,136.602
17,17:00,봉천,봉천,119,36,83,0.3025,8,1,1470.6637500000002,44.345,66.9175
17,17:00,사당,사당,140,68,72,0.4857,14,1,1566.66,53.053333333333335,175.7657142857143
17,17:00,상암,상암,94,40,54,0.4255,9,1,1466.2066666666667,70,129.01666666666668
17,17:00,성수,성수,131,46,85,0.3511,12,1,1498.8216666666667,67.0125,84.36999999999999
17,17:00,수서,수서,193,58,135,0.3005,12,1,1593.2841666666666,55.28,119.494
17,17:00,여의도,여의도,130,44,86,0.3385,8,1,1626.7625000000003,18.42,177.006
17,17:00,연신내,연신내,133,66,67,0.4962,13,1,1573.1161538461538,87.498,90.212
17,17:00,용산,용산,38,12,26,0.3158,3,1,1424.8866666666665,0,0
17,17:00,잠실,잠실,182,40,142,0.2198,9,1,1567.1311111111108,29.025,126.63
17,17:00,천호,천호,260,106,154,0.4077,20,1,2839.1925,1612.2900000000002,129.86875
18,18:00,가산,가산,172,88,84,0.5116,16,1,2324.752499999999,252.875,241.42875
18,18:00,강남,강남,279,82,197,0.2939,15,1,1728.562666666667,92.20555555555556,222.4209090909091
18,18:00,광화문,광화문,168,58,110,0.3452,10,1,1632.4779999999998,53.396,248.95666666666662
18,18:00,마곡,마곡,215,104,111,0.4837,22,1,2675.556818181818,916.1363636363636,225.20875
18,18:00,망우,망우,143,22,121,0.1538,5,1,1576.1580000000001,49.95,109.01
18,18:00,목동,목동,265,70,195,0.2642,13,1,2090.694615384615,103.194,164.00166666666667
18,18:00,미아,미아,147,54,93,0.3673,14,1,1809.827857142857,136.62142857142857,104.89571428571428
18,18:00,봉천,봉천,99,28,71,0.2828,6,1,1789.5233333333335,51.815,215.23333333333335
18,18:00,사당,사당,121,46,75,0.3802,10,1,1463.261,58.6925,126.06799999999998
18,18:00,상암,상암,83,24,59,0.2892,6,1,1531.3966666666668,54,184.32000000000002
18,18:00,성수,성수,143,52,91,0.3636,11,1,1544.8654545454547,56.968,102.55999999999999
18,18:00,수서,수서,188,56,132,0.2979,12,1,1466.1083333333333,106.71428571428571,24.215
18,18:00,여의도,여의도,119,66,53,0.5546,15,1,1826.13,74.57333333333334,164.668
18,18:00,연신내,연신내,117,28,89,0.2393,7,1,1494.695714285714,61.61,235.95
18,18:00,용산,용산,45,18,27,0.4,3,1,1673.3033333333333,0,178.81333333333336
18,18:00,잠실,잠실,151,84,67,0.5563,13,1,1546.1661538461537,61.806666666666665,135.52400000000003
18,18:00,천호,천호,264,112,152,0.4242,21,1,2950.379523809524,1617.514285714286,176.45142857142858
19,19:00,가산,가산,160,32,128,0.2,7,1,1672.1314285714286,70,225.76166666666666
19,19:00,강남,강남,269,66,203,0.2454,12,1,1430.5866666666668,42.48,129.135
19,19:00,광화문,광화문,138,34,104,0.2464,6,1,2187.605,93.33333333333333,357.10833333333335
