vertiport_id,vertiport,phase,resource_type,resource_id,fpl_id,aircraft_id,state,description,start_sec,end_sec,start_time,end_time,duration_sec
연신내,연신내,departure,fato,fato-2,FPL1013020,UAM0085,procedure,engine start,65085,65325,18:04:45,18:08:45,240
마곡,마곡,arrival,fato,fato-3,FPL1715021,UAM0048,procedure,engine stop,65088.45,65268.45,18:04:48,18:07:48,180
연신내,연신내,arrival,gate,gate-3,FPL0910015,UAM0121,handling,turnaround,65090.52,65690.52,18:04:50,18:14:50,600
가산,가산,arrival,fato,fato-3,FPL1214016,UAM0047,fatoLock,fato lock,65097.98,65157.98,18:04:57,18:05:57,60
천호,천호,departure,gate,gate-4,FPL1112024,UAM0039,waiting,gate hold,65098,65543.41,18:04:58,18:12:23,445.41
목동,목동,arrival,gate,gate-1,FPL1705024,UAM0031,handling,turnaround,65098.7,65698.7,18:04:58,18:14:58,600
마곡,마곡,departure,fato,fato-1,FPL1513029,UAM0124,procedure,engine start,65100,65340,18:05:00,18:09:00,240
연신내,연신내,arrival,fato,fato-3,FPL0210009,UAM0023,fatoLock,fato lock,65103.82,65163.82,18:05:03,18:06:03,60
강남,강남,arrival,fato,fato-3,FPL1513028,UAM0111,procedure,engine stop,65106.57,65286.57,18:05:06,18:08:06,180
마곡,마곡,arrival,gate,gate-3,FPL1615013,UAM0092,handling,turnaround,65108.73,65708.73,18:05:08,18:15:08,600
강남,강남,arrival,fato,fato-4,FPL1113027,UAM0128,fatoLock,fato lock,65122.86,65182.86,18:05:22,18:06:22,60
성수,성수,arrival,fato,fato-3,FPL0609014,UAM0133,procedure,engine stop,65124.07,65304.07,18:05:24,18:08:24,180
연신내,연신내,arrival,gate,gate-7,FPL0710009,UAM0050,handling,turnaround,65130.52,65730.52,18:05:30,18:15:30,600
마곡,마곡,arrival,fato,fato-4,FPL0415010,UAM0109,procedure,engine stop,65131.75,65311.75,18:05:31,18:08:31,180
여의도,여의도,arrival,fato,fato-3,FPL1501013,UAM0043,procedure,engine stop,65131.93,65311.93,18:05:31,18:08:31,180
상암,상암,arrival,fato,fato-3,FPL0803006,UAM0123,fatoLock,fato lock,65132.18,65192.18,18:05:32,18:06:32,60
광화문,광화문,arrival,fato,fato-4,FPL0212016,UAM0045,procedure,engine stop,65133.98,65313.98,18:05:33,18:08:33,180
수서,수서,departure,fato,fato-2,FPL1714018,UAM0061,procedure,engine start,65136,65376,18:05:36,18:09:36,240
사당,사당,arrival,gate,gate-4,FPL0508021,UAM0002,handling,turnaround,65138.84,65738.84,18:05:38,18:15:38,600
잠실,잠실,arrival,gate,gate-8,FPL1002012,UAM0019,handling,turnaround,65141.82,65741.82,18:05:41,18:15:41,600
미아,미아,arrival,fato,fato-3,FPL0806008,UAM0004,fatoLock,fato lock,65142.7,65202.7,18:05:42,18:06:42,60
목동,목동,arrival,gate,gate-5,FPL0905028,UAM0058,handling,turnaround,65143.18,65743.18,18:05:43,18:15:43,600
성수,성수,arrival,gate,gate-8,FPL0309014,UAM0110,handling,turnaround,65148.35,65748.35,18:05:48,18:15:48,600
가산,가산,departure,fato,fato-2,FPL1409020,UAM0008,procedure,engine start,65149,65389,18:05:49,18:09:49,240
가산,가산,arrival,fato,fato-3,FPL1214016,UAM0047,procedure,engine stop,65157.98,65337.98,18:05:57,18:08:57,180
연신내,연신내,arrival,fato,fato-3,FPL0210009,UAM0023,procedure,engine stop,65163.82,65343.82,18:06:03,18:09:03,180
강남,강남,arrival,gate,gate-4,FPL1613019,UAM0064,handling,turnaround,65166.57,65766.57,18:06:06,18:16:06,600
용산,용산,arrival,fato,fato-3,FPL1704004,UAM0105,fatoLock,fato lock,65171.04,65231.04,18:06:11,18:07:11,60
광화문,광화문,arrival,fato,fato-3,FPL1112021,UAM0065,fatoLock,fato lock,65171.33,65231.33,18:06:11,18:07:11,60
마곡,마곡,departure,fato,fato-2,FPL1507017,UAM0034,procedure,engine start,65172,65412,18:06:12,18:10:12,240
