Vertiport,Class,Angle_deg,Label,Category,X_cm,Y_cm,Z_cm,X_m,Y_m,Z_m,Yaw_deg,pt_lat_deg,pt_lon_deg,pt_h_m
용산,port,76.0,GATE 8,GATE,-173832.54889350067,421059.29735247506,1281.5747270000231,-1738.3254889350067,4210.592973524751,12.815747270000232,166.0,37.52886050050728,126.95877637963646,27.150537472218275
용산,port,76.0,GATE 7,GATE,-173407.43699253746,422764.3280222755,1281.5747270000231,-1734.0743699253746,4227.6432802227555,12.815747270000232,166.0,37.52870681179051,126.9588244046854,27.157776936888695
용산,port,76.0,GATE 6,GATE,-172998.953098533,424402.667324399,1281.5747270000231,-1729.98953098533,4244.0266732439895,12.815747270000232,166.0,37.528559134504306,126.95887055107649,27.164778999984264
용산,port,76.0,GATE 5,GATE,-172578.0754327767,426090.7152307534,1281.5747270000231,-1725.780754327767,4260.9071523075345,12.815747270000232,166.0,37.528406976541575,126.9589180974005,27.17204042430967
용산,port,76.0,GATE 4,GATE,-177931.76321652034,422127.80525930994,1281.574737000012,-1779.3176321652033,4221.278052593099,12.81574737000012,-14.0,37.52876411433961,126.95831268441424,27.144861314445734
용산,port,76.0,GATE 3,GATE,-177517.77430105343,423788.22408749175,1281.574737000012,-1775.1777430105344,4237.882240874917,12.81574737000012,-14.0,37.528614447043786,126.95835945376474,27.151912154629827
용산,port,76.0,GATE 2,GATE,-177109.16379173365,425427.0713316476,1281.574737000012,-1771.0916379173366,4254.270713316476,12.81574737000012,-14.0,37.52846672415188,126.95840561532005,27.15891656652093
용산,port,76.0,GATE 1,GATE,-176698.65575473302,427073.52916431404,1281.574737000012,-1766.9865575473302,4270.73529164314,12.81574737000012,-14.0,37.52831831523295,126.95845199105946,27.165998697280884
용산,port,76.0,FATO 2,FATO,-171990.58146610187,428878.2672065921,1281.5747270000231,-1719.9058146610187,4288.78267206592,12.815747270000232,76.0,37.52815570923153,126.95898445094439,27.183877975679934
용산,port,76.0,FATO 1,FATO,-176005.91321881005,429851.9677109764,1281.574737000012,-1760.0591321881004,4298.5196771097635,12.81574737000012,76.0,37.528067871441706,126.95853025085778,27.178052686154842
용산,port,76.0,TAXI 5,TAXI,-175940.30578091004,421584.8201986102,1281.5747270000231,-1759.4030578091003,4215.848201986102,12.815747270000232,76.0,37.52881309372691,126.95853795491018,27.147496558725834
용산,port,76.0,TAXI 4,TAXI,-175519.34583563852,423273.1978165924,1281.5747270000231,-1755.1934583563852,4232.731978165924,12.815747270000232,76.0,37.52866090618427,126.9585855113667,27.15466518700123
용산,port,76.0,TAXI 3,TAXI,-175107.61322483397,424924.5671382567,1281.5747270000231,-1751.0761322483397,4249.245671382567,12.815747270000232,76.0,37.52851205448575,126.9586320252108,27.16172275878489
용산,port,76.0,TAXI 2,TAXI,-174695.4042891237,426577.84682036616,1281.5747270000231,-1746.954042891237,4265.778468203662,12.815747270000232,76.0,37.52836303056871,126.95867859268054,27.168834142386913
용산,port,76.0,TAXI 1,TAXI,-174000.43366244537,429365.2217261467,1281.5747270000231,-1740.0043366244538,4293.652217261467,12.815747270000232,76.0,37.528111781120245,126.95875710347394,27.18092711083591
목동,port,10.0,GATE 8,GATE,-898928.7456842136,446428.5578613556,903.490982000023,-8989.287456842136,4464.285578613556,9.03490982000023,100.0,37.52652973890568,126.87676008933728,27.886284109205008
목동,port,10.0,GATE 7,GATE,-897198.2140731467,446733.6972662168,903.490982000023,-8971.982140731467,4467.336972662168,9.03490982000023,100.0,37.52650239705965,126.87695584162222,27.871999389491975
목동,port,10.0,GATE 6,GATE,-895535.3712778166,447026.9012882937,903.490982000023,-8955.353712778166,4470.269012882937,9.03490982000023,100.0,37.52647612437103,126.87714393702768,27.858318942599
목동,port,10.0,GATE 5,GATE,-893822.0764117681,447329.00134730054,903.490982000023,-8938.220764117681,4473.290013473005,9.03490982000023,100.0,37.52644905423515,126.87733773927128,27.844270098023117
목동,port,10.0,GATE 4,GATE,-899619.9158124627,450607.97780517966,903.4909920000118,-8996.199158124628,4506.079778051797,9.034909920000118,-80.0,37.52615292991499,126.876682182783,27.909546623937786
목동,port,10.0,GATE 3,GATE,-897934.6632724453,450905.13329221506,903.4909920000118,-8979.346632724453,4509.05133292215,9.034909920000118,-80.0,37.526126303590914,126.8768728123118,27.89563631080091
목동,port,10.0,GATE 2,GATE,-896271.3049498905,451198.42824408284,903.4909920000118,-8962.713049498905,4511.984282440829,9.034909920000118,-80.0,37.52610002288432,126.87706096511573,27.8819516627118
목동,port,10.0,GATE 1,GATE,-894600.2222147327,451493.0852233798,903.4909920000118,-8946.002222147326,4514.930852233798,9.034909920000118,-80.0,37.52607361983113,126.87724999154386,27.868248428218067
목동,port,10.0,FATO 2,FATO,-891036.5656424654,447926.09843570425,903.490982000023,-8910.365656424654,4479.260984357043,9.03490982000023,10.0,37.52639549298312,126.87765283341672,27.821961413137615
목동,port,10.0,FATO 1,FATO,-891780.228527513,451990.3261938334,903.4909920000118,-8917.80228527513,4519.903261938333,9.034909920000118,10.0,37.526029063336566,126.87756897804346,27.84522607922554
목동,port,10.0,TAXI 5,TAXI,-899305.9586360443,448567.83898996,903.490982000023,-8993.059586360443,4485.6783898996,9.03490982000023,10.0,37.526336862947005,126.87671756186485,27.89836654998362
목동,port,10.0,TAXI 4,TAXI,-897592.329097342,448869.9979886901,903.490982000023,-8975.92329097342,4488.699979886901,9.03490982000023,10.0,37.52630978822875,126.87691140175708,27.884221145883203
목동,port,10.0,TAXI 3,TAXI,-895916.2614146818,449165.53394669836,903.490982000023,-8959.162614146819,4491.655339466984,9.03490982000023,10.0,37.52628330665478,126.87710099264639,27.87043164577335
목동,port,10.0,TAXI 2,TAXI,-894238.2547921212,449461.4117738472,903.490982000023,-8942.382547921212,4494.614117738472,9.03490982000023,10.0,37.52625679414244,126.87729080272831,27.856671611778438
목동,port,10.0,TAXI 1,TAXI,-891409.191088467,449960.2520268211,903.490982000023,-8914.09191088467,4499.60252026821,9.03490982000023,10.0,37.52621209423027,126.87761081595042,27.833575542084873
미아,port,74.0,GATE 8,GATE,423473.0893579267,-701058.8650561795,2663.380979000023,4234.730893579267,-7010.588650561795,26.63380979000023,164.0,37.63001325502577,127.02647785528583,43.621046368964016
미아,port,74.0,GATE 7,GATE,423957.4470044444,-699369.7092363805,2663.380979000023,4239.574470044444,-6993.6970923638055,26.63380979000023,164.0,37.62986097000376,127.02653251814466,43.6030557481572
미아,port,74.0,GATE 6,GATE,424422.8592781695,-697746.6238486052,2663.380979000023,4244.228592781696,-6977.466238486052,26.63380979000023,164.0,37.629714641501046,127.02658504268713,43.58581458032131
미아,port,74.0,GATE 5,GATE,424902.39257896505,-696074.292674134,2663.380979000023,4249.02392578965,-6960.74292674134,26.63380979000023,164.0,37.62956387323842,127.02663916065633,43.5680972058326
미아,port,74.0,GATE 4,GATE,419413.66255368677,-699847.9475387422,2663.380989000012,4194.1366255368675,-6998.479475387422,26.63380989000012,-16.0,37.62990429864523,127.02601793661505,43.556593840010464
미아,port,74.0,GATE 3,GATE,419885.3470597108,-698202.9881976377,2663.380989000012,4198.853470597108,-6982.0298819763775,26.63380989000012,-16.0,37.6297559983386,127.02607117006718,43.53907475061715
미아,port,74.0,GATE 2,GATE,420350.903598542,-696579.3995960655,2663.380989000012,4203.509035985419,-6965.793995960656,26.63380989000012,-16.0,37.62960962466995,127.02612371172094,43.52182843256742
미아,port,74.0,GATE 1,GATE,420818.62211483996,-694948.2712649085,2663.380989000012,4208.186221148399,-6949.4827126490845,26.63380989000012,-16.0,37.629462571233425,127.02617649716335,43.504547209478915
미아,port,74.0,FATO 2,FATO,425586.81282117777,-693308.9420433947,2663.380979000023,4255.868128211778,-6933.0894204339465,26.63380979000023,74.0,37.62931456953557,127.02671635676623,43.53762790746987
미아,port,74.0,FATO 1,FATO,421607.9087576247,-692195.7016337861,2663.380989000012,4216.079087576247,-6921.957016337861,26.63380989000012,74.0,37.629214414837826,127.02626557344075,43.4754874156788
미아,port,74.0,TAXI 5,TAXI,421384.95694189926,-700460.1026898212,2663.380979000023,4213.849569418992,-7004.601026898212,26.63380979000023,74.0,37.62995938350308,127.02624127991338,43.588195595890284
미아,port,74.0,TAXI 4,TAXI,421864.5839788574,-698787.4448760872,2663.380979000023,4218.6458397885735,-6987.874448760873,26.63380979000023,74.0,37.62980858595714,127.02629540933232,43.57038056850433
미아,port,74.0,TAXI 3,TAXI,422333.69773147616,-697151.4507848884,2663.380979000023,4223.3369773147615,-6971.514507848883,26.63380979000023,74.0,37.62966109378039,127.02634835203888,43.55300210695714
미아,port,74.0,TAXI 2,TAXI,422803.3541894544,-695513.5641204836,2663.380979000023,4228.033541894544,-6955.135641204836,26.63380979000023,74.0,37.629513430951405,127.02640135578416,43.53564918227494
미아,port,74.0,TAXI 1,TAXI,423595.17944013735,-692752.1413332775,2663.380979000023,4235.951794401373,-6927.5214133327745,26.63380979000023,74.0,37.62926447623758,127.02649071787094,43.50649612117559
봉천,port,8.0,GATE 8,GATE,-315360.3247257111,929358.4164460249,3013.713664000023,-3153.603247257111,9293.58416446025,30.137136640000232,98.0,37.48305381659414,126.94277376472675,38.91748477425426
봉천,port,8.0,GATE 7,GATE,-313620.1980960905,929602.9752859513,3013.713664000023,-3136.201980960905,9296.029752859513,30.137136640000232,98.0,37.48303182641763,126.9429704646901,38.920618092641234
봉천,port,8.0,GATE 6,GATE,-311948.1355868611,929837.9683194077,3013.713664000023,-3119.481355868611,9298.379683194076,30.137136640000232,98.0,37.48301069606819,126.94315947073103,38.92367438599467
봉천,port,8.0,GATE 5,GATE,-310225.3412737402,930080.091218693,3013.713664000023,-3102.2534127374024,9300.800912186929,30.137136640000232,98.0,37.48298892429171,126.94335421126503,38.92687008623034
봉천,port,8.0,GATE 4,GATE,-315905.2141592449,933559.411889755,3013.713674000012,-3159.052141592449,9335.59411889755,30.13713674000012,-82.0,37.482675109114794,126.94271210658212,38.96644477266818
봉천,port,8.0,GATE 3,GATE,-314210.61765260104,933797.5718922334,3013.713674000012,-3142.1061765260106,9337.975718922335,30.13713674000012,-82.0,37.482653694410345,126.94290365897456,38.96949673444033
봉천,port,8.0,GATE 2,GATE,-312538.03675678826,934032.637808448,3013.713674000012,-3125.380367567883,9340.32637808448,30.13713674000012,-82.0,37.48263255761319,126.94309272267726,38.97255399264395
봉천,port,8.0,GATE 1,GATE,-310857.6886198043,934268.7953442693,3013.713674000012,-3108.5768861980428,9342.687953442692,30.13713674000012,-82.0,37.482611322354444,126.94328266425902,38.975670411251485
봉천,port,8.0,FATO 2,FATO,-307420.6889744684,930579.6116477753,3013.713664000023,-3074.206889744684,9305.796116477753,30.137136640000232,8.0,37.482943983099766,126.94367124046305,38.93340217974037
봉천,port,8.0,FATO 1,FATO,-308022.0593369365,934667.3170485705,3013.713674000012,-3080.220593369365,9346.673170485705,30.13713674000012,8.0,37.482575486635575,126.9436031951591,38.98103164322674
봉천,port,8.0,TAXI 5,TAXI,-315662.64805490995,931509.5589245358,3013.713664000023,-3156.6264805490996,9315.095589245357,30.137136640000232,8.0,37.482859896642985,126.9427395573374,38.94251628499478
봉천,port,8.0,TAXI 4,TAXI,-313939.5172160422,931751.7290477327,3013.713664000023,-3139.395172160422,9317.517290477326,30.137136640000232,8.0,37.48283812131193,126.94293433564151,38.945618784986436
봉천,port,8.0,TAXI 3,TAXI,-312254.1564923365,931988.5910546563,3013.713664000023,-3122.5415649233646,9319.885910546564,30.137136640000232,8.0,37.4828168229627,126.94312484439882,38.94869912415743
봉천,port,8.0,TAXI 2,TAXI,-310566.8460788192,932225.7270544363,3013.713664000023,-3105.668460788192,9322.257270544364,30.137136640000232,8.0,37.482795499668576,126.94331557343543,38.95182844158262
봉천,port,8.0,TAXI 1,TAXI,-307722.09649057075,932625.5305280095,3013.713664000023,-3077.2209649057077,9326.255305280096,30.137136640000232,8.0,37.48275954860081,126.9436371360413,38.95720726251602
사당·이수,port,10.0,GATE 8,GATE,38090.090536658085,1007885.4514667996,2303.892086000023,380.90090536658084,10078.854514667995,23.038920860000232,100.0,37.47597297178801,126.9827173825137,37.60755241010338
사당·이수,port,10.0,GATE 7,GATE,39820.62214772498,1008190.5908716607,2303.892086000023,398.20622147724976,10081.905908716608,23.038920860000232,100.0,37.4759454542446,126.98291296381608,37.62133779190481
사당·이수,port,10.0,GATE 6,GATE,41483.46494305515,1008483.7948937376,2303.892086000023,414.8346494305515,10084.837948937376,23.038920860000232,100.0,37.47591901273184,126.98310089492485,37.634629499167204
사당·이수,port,10.0,GATE 5,GATE,43196.75980910362,1008785.8949527445,2303.892086000023,431.9675980910362,10087.858949527445,23.038920860000232,100.0,37.47589176865046,126.98329452788461,37.64837116654962
사당·이수,port,10.0,GATE 4,GATE,37398.920408409074,1012064.8714106237,2303.892096000012,373.9892040840907,10120.648714106237,23.03892096000012,-80.0,37.475596230525724,126.9826389957474,37.65757581125945
사당·이수,port,10.0,GATE 3,GATE,39084.17294842641,1012362.0268976591,2303.892096000012,390.8417294842641,10123.62026897659,23.03892096000012,-80.0,37.475569433103686,126.98282945877003,37.671001149341464
사당·이수,port,10.0,GATE 2,GATE,40747.53127098126,1012655.3218495268,2303.892096000012,407.47531270981256,10126.553218495268,23.03892096000012,-80.0,37.475542983522864,126.98301744722887,37.68429701868445
사당·이수,port,10.0,GATE 1,GATE,42418.614006139054,1012949.9788288238,2303.892096000012,424.1861400613905,10129.499788288238,23.03892096000012,-80.0,37.47551641081211,126.98320630854664,37.697699597105384
사당·이수,port,10.0,FATO 2,FATO,45982.270578406315,1009382.9920411482,2303.892086000023,459.82270578406315,10093.829920411483,23.038920860000232,10.0,37.47583792453626,126.98360933329126,37.672180094756186
