sim_time,reg,phase,lat,lon,alt_m,x,y,z,lane
06:31:02.593,8-1,A,37.47550983280109,126.98326489636561,0.0,438.8825911603174,-10147.838492582543,0.0,-
06:31:02.625,12-1,C,37.56768081473231,126.96794565777942,137.16,-912.8438283494552,112.63521600105425,137.16,-
06:31:02.625,13-1,C,37.49481927089279,127.02458559882443,137.16,4084.904870401547,-7998.311844214019,137.16,-
06:31:02.625,11-1,C,37.544873,127.118611,79.45117258346704,12381.441160957715,-2426.3307199994233,79.45117258346704,-
06:31:02.625,2-1,C,37.514055,127.068923,33.2496118546851,7997.1121386822315,-5856.99047999982,33.2496118546851,-
06:31:02.625,15-1,A,37.5627783022093,126.79256853017506,0.0,-16387.62708384557,-433.1124780598026,0.0,-
06:31:02.625,10-1,A,37.61047158954205,126.923449464142,0.0,-4839.062495740868,4876.104267821207,0.0,-
06:31:02.625,7-1,A,37.482606366645186,126.94334296315394,0.0,-3083.716233612834,-9357.852345057896,0.0,-
06:31:02.625,8-1,A,37.47550972891841,126.9832656327784,0.0,438.9475701477911,-10147.850056802563,0.0,-
06:31:03.625,12-1,C,37.567648197248126,126.96772997099211,137.16,-931.8754223226165,109.00423766158744,137.16,-
06:31:03.625,13-1,C,37.49478997502975,127.02464499806469,137.16,4090.1460918840153,-8001.573059688589,137.16,-
06:31:03.625,11-1,C,37.544873,127.118611,88.71717258346303,12381.441160957715,-2426.3307199994233,88.71717258346303,-
06:31:03.625,2-1,C,37.514055,127.068923,39.42261185467304,7997.1121386822315,-5856.99047999982,39.42261185467304,-
06:31:03.625,15-1,A,37.562748948986275,126.79260562490747,0.0,-16384.3539492486,-436.38007884785935,0.0,-
06:31:03.625,10-1,A,37.61045272453367,126.92347497477833,0.0,-4836.8115091195405,4874.004215088397,0.0,-
06:31:03.625,7-1,A,37.48260313194517,126.94337171604292,0.0,-3081.179159758441,-9358.212431863201,0.0,-
06:31:03.625,8-1,A,37.47550569559463,126.98329422456253,0.0,441.4704285635981,-10148.299046405775,0.0,-
06:31:03.625,17-1,A,37.48822002190936,127.1000778077558,0.0,10746.124532562884,-8732.940241049308,0.0,-
06:31:03.657,12-1,C,37.567647152626684,126.96772306331519,137.16,-932.4849362582077,108.88795040257722,137.16,-
06:31:03.657,13-1,C,37.49478903513227,127.02464690376706,137.16,4090.314245687984,-8001.6776890749725,137.16,-
06:31:03.657,11-1,C,37.544873,127.118611,89.01419658338821,12381.441160957715,-2426.3307199994233,89.01419658338821,-
06:31:03.657,2-1,C,37.514055,127.068923,39.62065985462282,7997.1121386822315,-5856.99047999982,39.62065985462282,-
06:31:03.657,15-1,A,37.56274800643366,126.79260681604539,0.0,-16384.248846596678,-436.48500380528935,0.0,-
06:31:03.657,10-1,A,37.61045211771587,126.92347579536148,0.0,-4836.739103175368,4873.936664131191,0.0,-
06:31:03.657,7-1,A,37.482603027788464,126.94337264188034,0.0,-3081.097466475389,-9358.224026588068,0.0,-
06:31:03.657,8-1,A,37.475505565722386,126.9832951452124,0.0,441.5516641123015,-10148.313503783387,0.0,-
06:31:03.657,17-1,A,37.4882201217051,127.10007766931085,0.0,10746.112316570892,-8732.929131788149,0.0,-
06:31:04.657,12-1,C,37.567613666459394,126.96750163226304,137.16,-952.0233879641837,105.16027026022218,137.16,-
06:31:04.657,13-1,C,37.49475955256725,127.02470668155756,137.16,4095.588869374713,-8004.959688213385,137.16,-
06:31:04.657,11-1,C,37.544873,127.118611,98.79619658338018,12381.441160957715,-2426.3307199994233,98.79619658338018,-
06:31:04.657,2-1,C,37.514055,127.068923,46.30965985460676,7997.1121386822315,-5856.99047999982,46.30965985460676,-
06:31:04.657,15-1,B,37.562717,126.792646,0.25551415425021773,-16380.791364922143,-439.93663999979725,0.25551415425021773,-
06:31:04.657,10-1,A,37.610430090666135,126.9235055819401,0.0,-4834.110819462406,4871.484612954294,0.0,-
06:31:04.657,7-1,A,37.48259914173032,126.94340718461936,0.0,-3078.0495125785155,-9358.656622580314,0.0,-
06:31:04.657,8-1,A,37.47550072022492,126.98332949440555,0.0,444.5825400666631,-10148.852904561332,0.0,-
06:31:04.657,17-1,A,37.48822626223721,127.10006915065358,0.0,10745.360654272672,-8732.245567753529,0.0,-
06:31:04.689,12-1,C,37.56761259404009,126.96749454076964,137.16,-952.6491213472209,105.0408885435203,137.16,-
06:31:04.689,13-1,C,37.494758606695314,127.02470859937354,137.16,4095.758092049218,-8005.06498267701,137.16,-
06:31:04.689,11-1,C,37.544873,127.118611,99.1097325833011,12381.441160957715,-2426.3307199994233,99.1097325833011,-
06:31:04.689,2-1,C,37.514055,127.068923,46.52421985455225,7997.1121386822315,-5856.99047999982,46.52421985455225,-
06:31:04.689,15-1,B,37.562717,126.792646,0.41951415420905036,-16380.791364922143,-439.93663999979725,0.41951415420905036,-
06:31:04.689,10-1,A,37.610429382663014,126.92350653935343,0.0,-4834.0263400113045,4871.40579804688,0.0,-
06:31:04.689,7-1,A,37.482599016730155,126.94340829573198,0.0,-3077.951471134108,-9358.670537599164,0.0,-
06:31:04.689,8-1,A,37.475500564363124,126.98333059929251,0.0,444.6800321765962,-10148.870255096535,0.0,-
06:31:04.689,17-1,A,37.48822646182868,127.10006887376368,0.0,10745.336222288686,-8732.223349231212,0.0,-
06:31:05.689,12-1,C,37.56757823918971,126.96726736545266,137.16,-972.6944307860115,101.21650659827704,137.16,-
06:31:05.689,13-1,C,37.49472763427552,127.02477139794009,137.16,4101.299260498394,-8008.5128324490715,137.16,-
06:31:05.689,11-1,C,37.544873,127.118611,109.40773258328905,12381.441160957715,-2426.3307199994233,109.40773258328905,-
06:31:05.689,2-1,C,37.514055,127.068923,53.72921985453217,7997.1121386822315,-5856.99047999982,53.72921985453217,-
06:31:05.689,15-1,C,37.562717,126.792646,5.044513154209054,-16380.791364922143,-439.93663999979725,5.044513154209054,-
06:31:05.689,10-1,A,37.61040419357192,126.92354060187434,0.0,-4831.020759206707,4868.6017484258955,0.0,-
06:31:05.689,7-1,A,37.48259447931388,126.94344862832105,0.0,-3074.392637194754,-9359.175642778351,0.0,-
06:31:05.689,8-1,A,37.47549490669197,126.98337070589467,0.0,448.21892566951243,-10149.500067049214,0.0,-
06:31:05.689,17-1,A,37.48823572097749,127.10005602870174,0.0,10744.202810240586,-8731.192620785308,0.0,-
06:31:05.689,16-1,A,37.597038239431924,127.08596544651773,0.0,9500.8895674034,3380.7037335617615,0.0,-
06:31:05.718,12-1,C,37.567577242191135,126.96726077268733,137.16,-973.2761578099811,101.1055207172996,137.16,-
06:31:05.718,13-1,C,37.494726734079734,127.02477322314475,137.16,4101.46031141152,-8008.613042244028,137.16,-
06:31:05.718,11-1,C,37.544873,127.118611,109.70679508353756,12381.441160957715,-2426.3307199994233,109.70679508353756,-
06:31:05.718,2-1,C,37.514055,127.068923,53.938585354705914,7997.1121386822315,-5856.99047999982,53.938585354705914,-
06:31:05.718,15-1,C,37.562717,126.792646,5.178217654319806,-16380.791364922143,-439.93663999979725,5.178217654319806,-
06:31:05.718,10-1,A,37.610403460511456,126.923541593172,0.0,-4830.933289895419,4868.520144135374,0.0,-
06:31:05.718,7-1,A,37.482594347198,126.94344980268441,0.0,-3074.289014682795,-9359.190349917928,0.0,-
06:31:05.718,8-1,A,37.475494741957654,126.98337187367798,0.0,448.32196757580573,-10149.518405273955,0.0,-
06:31:05.718,17-1,A,37.48823599203424,127.10005565266927,0.0,10744.16963019471,-8731.162446748267,0.0,-
06:31:05.718,16-1,A,37.597038276417884,127.0859656090476,0.0,9500.903908580072,3380.707850839047,0.0,-
06:31:06.718,12-1,C,37.56754202118289,126.96702786980394,137.16,-993.8268515579603,97.18471807905722,137.16,-
06:31:06.718,13-1,C,37.49469418776154,127.0248392128912,137.16,4107.283060576361,-8012.236098385508,137.16,-
06:31:06.718,11-1,C,37.544873,127.118611,120.51929508353754,12381.441160957715,-2426.3307199994233,120.51929508353754,-
06:31:06.718,2-1,C,37.514055,127.068923,61.65808535469788,7997.1121386822315,-5856.99047999982,61.65808535469788,-
06:31:06.718,15-1,C,37.562717,126.792646,9.288717654307757,-16380.791364922143,-439.93663999979725,9.288717654307757,-
06:31:06.718,10-1,A,37.61037511857098,126.92357991920515,0.0,-4827.551508793046,4865.365119321583,0.0,-
06:31:06.718,7-1,A,37.48258916031709,126.94349590829255,0.0,-3070.2207858173465,-9359.76775350154,0.0,-
06:31:06.718,8-1,A,37.47548827447378,126.98341772095252,0.0,452.3674018121222,-10150.238365578189,0.0,-
06:31:06.718,17-1,A,37.488248360734005,127.10003849377941,0.0,10742.655578134361,-8729.78556308994,0.0,-
06:31:06.718,16-1,A,37.59704079123028,127.08597666005419,0.0,9501.879018242835,3380.9877997551207,0.0,-
06:31:06.718,14-1,A,37.488332514566665,126.87868029555182,0.0,-8789.36770329783,-8720.417558438618,0.0,-
06:31:06.750,12-1,C,37.56754089324867,126.96702041121195,137.16,-994.4849766863334,97.0591564424885,137.16,-
06:31:06.750,13-1,C,37.4946931438495,127.02484132948976,137.16,4107.469823266161,-8012.35230667323,137.16,-
06:31:06.750,11-1,C,37.544873,127.118611,120.86580708345043,12381.441160957715,-2426.3307199994233,120.86580708345043,-
06:31:06.750,2-1,C,37.514055,127.068923,61.905621354635365,7997.1121386822315,-5856.99047999982,61.905621354635365,-
06:31:06.750,15-1,C,37.562717,126.792646,9.419741654274613,-16380.791364922143,-439.93663999979725,9.419741654274613,-
06:31:06.750,10-1,A,37.61037420849135,126.923581149881,0.0,-4827.44291742549,4865.263809257794,0.0,-
06:31:06.750,7-1,A,37.48258899369059,126.94349738941698,0.0,-3070.090095573953,-9359.786302363309,0.0,-
06:31:06.750,8-1,A,37.47548806670842,126.98341919377808,0.0,452.4973597870697,-10150.261494018232,0.0,-
06:31:06.750,17-1,A,37.48824875962684,127.10003794040207,0.0,10742.606749677992,-8729.74115833967,0.0,-
06:31:06.750,16-1,A,37.59704087297346,127.08597701926365,0.0,9501.910713872438,3380.996899405642,0.0,-
06:31:06.750,14-1,A,37.488332366439415,126.87868030531213,0.0,-8789.366842074496,-8720.434047963723,0.0,-
06:31:07.750,12-1,C,37.56750480355732,126.96678176406374,137.16,-1015.5425281671273,93.04165200135792,137.16,-
06:31:07.750,13-1,C,37.49465892609458,127.02491070818131,137.16,4113.591603391652,-8016.161427150954,137.16,-
06:31:07.750,11-1,C,37.544873,127.118611,132.1943070834464,12381.441160957715,-2426.3307199994233,132.1943070834464,-
06:31:07.750,2-1,C,37.514055,127.068923,70.14112135462332,7997.1121386822315,-5856.99047999982,70.14112135462332,-
06:31:07.750,15-1,C,37.562717,126.792646,13.014241654266584,-16380.791364922143,-439.93663999979725,13.014241654266584,-
