Vertiport,Class,Angle_deg,Label,Category,X_cm,Y_cm,Z_cm,X_m,Y_m,Z_m,Yaw_deg,pt_lat_deg,pt_lon_deg,pt_h_m
용산,port,76,TAXI 4,TAXI,-175519.3458356380 ,423273.1978165920 ,1431.5747270000 ,-1755.1934583564 ,4232.7319781659 ,14.3157472700 ,76,37.528662305971000000 ,126.958586657611000000 ,27.852839413098900000 
용산,port,76,TAXI 3,TAXI,-175107.6132248330 ,424924.5671382560 ,1431.5747270000 ,-1751.0761322483 ,4249.2456713826 ,14.3157472700 ,76,37.528513454288400000 ,126.958633171448000000 ,27.859896646812500000 
용산,port,76,TAXI 2,TAXI,-174695.4042891230 ,426577.8468203660 ,1431.5747270000 ,-1746.9540428912 ,4265.7784682037 ,14.3157472700 ,76,37.528364430387300000 ,126.958679738912000000 ,27.867007691413100000 
용산,port,76,TAXI 1,TAXI,-174000.4336624450 ,429365.2217261460 ,1431.5747270000 ,-1740.0043366245 ,4293.6522172615 ,14.3157472700 ,76,37.528113180965700000 ,126.958758249694000000 ,27.879100090824000000 
목동,port,10,GATE 8,GATE,-898928.7456842130 ,446428.5578613550 ,1053.4909820000 ,-8989.2874568421 ,4464.2855786136 ,10.5349098200 ,100,37.526531139723400000 ,126.876761242964000000 ,28.584337431006100000 
목동,port,10,GATE 7,GATE,-897198.2140731460 ,446733.6972662160 ,1053.4909820000 ,-8971.9821407315 ,4467.3369726622 ,10.5349098200 ,100,37.526503797878500000 ,126.876956995231000000 ,28.570052913390100000 
목동,port,10,GATE 6,GATE,-895535.3712778160 ,447026.9012882930 ,1053.4909820000 ,-8955.3537127782 ,4470.2690128829 ,10.5349098200 ,100,37.526477525190900000 ,126.877145090619000000 ,28.556372661143500000 
목동,port,10,GATE 5,GATE,-893822.0764117680 ,447329.0013473000 ,1053.4909820000 ,-8938.2207641177 ,4473.2900134730 ,10.5349098200 ,100,37.526450455056100000 ,126.877338892844000000 ,28.542324014939300000 
목동,port,10,GATE 4,GATE,-899619.9158124620 ,450607.9778051790 ,1053.4909920000 ,-8996.1991581246 ,4506.0797780518 ,10.5349099200 ,-80,37.526154330775000000 ,126.876683336411000000 ,28.607598814181900000 
목동,port,10,GATE 3,GATE,-897934.6632724450 ,450905.1332922150 ,1053.4909920000 ,-8979.3466327245 ,4509.0513329222 ,10.5349099200 ,-80,37.526127704451900000 ,126.876873965922000000 ,28.593688696622800000 
목동,port,10,GATE 2,GATE,-896271.3049498900 ,451198.4282440820 ,1053.4909920000 ,-8962.7130494989 ,4511.9842824408 ,10.5349099200 ,-80,37.526101423746400000 ,126.877062118708000000 ,28.580004243180100000 
목동,port,10,GATE 1,GATE,-894600.2222147320 ,451493.0852233790 ,1053.4909920000 ,-8946.0022221473 ,4514.9308522338 ,10.5349099200 ,-80,37.526075020694300000 ,126.877251145119000000 ,28.566301204264100000 
목동,port,10,FATO 2,FATO,-891036.5656424650 ,447926.0984357040 ,1053.4909820000 ,-8910.3656564247 ,4479.2609843570 ,10.5349098200 ,10,37.526396893806900000 ,126.877653986960000000 ,28.520015630871000000 
목동,port,10,FATO 1,FATO,-891780.2285275130 ,451990.3261938330 ,1053.4909920000 ,-8917.8022852751 ,4519.9032619383 ,10.5349099200 ,10,37.526030464201500000 ,126.877570131589000000 ,28.543279184028500000 
목동,port,10,TAXI 5,TAXI,-899305.9586360440 ,448567.8389899600 ,1053.4909820000 ,-8993.0595863604 ,4485.6783898996 ,10.5349098200 ,10,37.526338263786400000 ,126.876718715492000000 ,28.596419289708100000 
목동,port,10,TAXI 4,TAXI,-897592.3290973420 ,448869.9979886900 ,1053.4909820000 ,-8975.9232909734 ,4488.6999798869 ,10.5349098200 ,10,37.526311189069200000 ,126.876912555367000000 ,28.582274083979400000 
목동,port,10,TAXI 3,TAXI,-895916.2614146810 ,449165.5339466980 ,1053.4909820000 ,-8959.1626141468 ,4491.6553394670 ,10.5349098200 ,10,37.526284707496300000 ,126.877102146238000000 ,28.568484779447300000 
목동,port,10,TAXI 2,TAXI,-894238.2547921210 ,449461.4117738470 ,1053.4909820000 ,-8942.3825479212 ,4494.6141177385 ,10.5349098200 ,10,37.526258194985000000 ,126.877291956303000000 ,28.554724941030100000 
목동,port,10,TAXI 1,TAXI,-891409.1910884670 ,449960.2520268210 ,1053.4909820000 ,-8914.0919108847 ,4499.6025202682 ,10.5349098200 ,10,37.526213495074700000 ,126.877611969495000000 ,28.531629201024700000 
미아,port,74,GATE 8,GATE,423473.0893579260 ,-701058.8650561790 ,2813.3809790000 ,4234.7308935793 ,-7010.5886505618 ,28.1338097900 ,164,37.630014642996600000 ,127.026478996919000000 ,44.319589149206800000 
미아,port,74,GATE 7,GATE,423957.4470044440 ,-699369.7092363800 ,2813.3809790000 ,4239.5744700444 ,-6993.6970923638 ,28.1338097900 ,164,37.629862357990800000 ,127.026533659770000000 ,44.301598196849200000 
미아,port,74,GATE 6,GATE,424422.8592781690 ,-697746.6238486050 ,2813.3809790000 ,4244.2285927817 ,-6977.4662384861 ,28.1338097900 ,164,37.629716029503700000 ,127.026586184306000000 ,44.284356707707000000 
미아,port,74,GATE 5,GATE,424902.3925789650 ,-696074.2926741340 ,2813.3809790000 ,4249.0239257897 ,-6960.7429267413 ,28.1338097900 ,164,37.629565261257200000 ,127.026640302268000000 ,44.266639002598800000 
미아,port,74,GATE 4,GATE,419413.6625536860 ,-699847.9475387420 ,2813.3809890000 ,4194.1366255369 ,-6998.4794753874 ,28.1338098900 ,-16,37.629905686632500000 ,127.026019078288000000 ,44.255135686136700000 
미아,port,74,GATE 3,GATE,419885.3470597100 ,-698202.9881976370 ,2813.3809890000 ,4198.8534705971 ,-6982.0298819764 ,28.1338098900 ,-16,37.629757386341700000 ,127.026072311733000000 ,44.237616273574500000 
미아,port,74,GATE 2,GATE,420350.9035985420 ,-696579.3995960650 ,2813.3809890000 ,4203.5090359854 ,-6965.7939959607 ,28.1338098900 ,-16,37.629611012688700000 ,127.026124853380000000 ,44.220369634218500000 
미아,port,74,GATE 1,GATE,420818.6221148390 ,-694948.2712649080 ,2813.3809890000 ,4208.1862211484 ,-6949.4827126491 ,28.1338098900 ,-16,37.629463959267800000 ,127.026177638815000000 ,44.203088088892400000 
미아,port,74,FATO 2,FATO,425586.8128211770 ,-693308.9420433940 ,2813.3809790000 ,4255.8681282118 ,-6933.0894204339 ,28.1338097900 ,74,37.629315957581100000 ,127.026717498367000000 ,44.236169141717200000 
미아,port,74,FATO 1,FATO,421607.9087576240 ,-692195.7016337860 ,2813.3809890000 ,4216.0790875762 ,-6921.9570163379 ,28.1338098900 ,74,37.629215802898700000 ,127.026266715081000000 ,44.174027753062500000 
미아,port,74,TAXI 5,TAXI,421384.9569418990 ,-700460.1026898210 ,2813.3809790000 ,4213.8495694190 ,-7004.6010268982 ,28.1338097900 ,74,37.629960771482200000 ,127.026242421567000000 ,44.286737902089900000 
